,Reviews
847,"
I am writing this review after using one monthHeating problemHanging problemCamera quality not goodWaste of money.Battery backup not more than10 hours
"
848,"
Battery backup and camera quality is poor very disappointing by oneplus brandI uesd realme 9 pro of my friend realme 9 Pro better than this model price 16000-17000 only
"
849,"
Fine it's not working as expected. Some times it's working as robo even if iam not pressing anything. What to do
"
850,"
The phone quality is good its work very fast and in low price best phone coming in budget and best brand OnePlus
"
851,"




                    The media could not be loaded.
                



 Awesome product
"
852,"
I never saw dropping calls in between in any mobile except Nord CE2. Always to restart the mobile to do any action. Not recommended to buy this mobile and waste of money.
"
853,"
I bought this phone one month ago and it is absolutely awesome phone in budget. I would highly recommend to use instead of oppo, redmi or Vivo.
"
854,"
Camera is a bestAnd back look smartphone is very letestAnd battery charging in 30 minute
"
855,"
It's just a phone,That's all.Nothing more nothing less.I think nord series is an adopted child by OnePlus. It has no traditional features of OnePlus family
"
856,"
Phone is hanged. Many apps shutdown automatically itself. phone camera is not satisfied. This phone is not good at this price.
"
857,"
This product is not good, sound and camera is not good as brand name.. I would suggest don't buy this .. instead of it you can buy it's basic modal, 1+ nord2.
"
858,"
Perfect phone in the price range. Elegant look and design. Light weight having good camera quality.Worth buying.
"
859,"
Phone hangs and camera quality is not going for both front and back camera
"
860,"
Not Any special in this phone.... disappointed
"
861,"
Dont think much, it's good for daily use.No lag issue, good to hold, not the best but good camera, if this is 20k it would be the best.
"
862,"
फ़ोन का कैमरा अच्छा है फ़ोन का देखने मे भी अच्छा है लेकिन बैटरी बैकअप बिल्कुल खराब है सुपरफास्ट चार्जिंग है लेकिन बैटरी में थोड़ा और सुधार हो जाता तो अच्छा होता बैटरी लगातार 3 घण्टे भी नही चलता है
"
863,"
Compared to cost it carry, display and camera is very poor. Don’t look like a premium product. Plastic body and build quality is for sure no a OnePlus product.
"
864,"
One plus Nord ce2 is excellent phone.  Phone give the one plus 35000 phone like feeling.  But in the box SIM ejector tool is missing.
"
865,"
I like everything but can improve battery life.
"
866,"
Ye phon wese to thik tha but mujhse gir ke kuch problm aayi to eska part mila nhi jisse ban pay … mai ab kbhi bhi aisa phon nahi lugi
"
867,"
Phone camera is bestExternal memory card tray also availablePhone is very fastBest phone under 25000 rupees8gb ram 128 gb storageBest for ever 👌🏻👌🏻👌🏻
"
868,"
Phone is very nice.good batery life,good speed,no heating problem.i feel sound is little bit low.but overall performance is very good.Phone is very speed.
"
869,"
Good budget 1+, bad battery life for some reason, amoled also not the best, but overall great for price
"
870,"
I don't like the camera come on i mean i got samsung too with 16 megapixel it's better then one plus Nord ce2 to be honest.. but you can't expect everything over all i ll rate it 9.4/10
"
871,"
Phone heating problem when playing games , and automatically fingerprint sensor started in pocket and everytime phone shows locked when you try to open .not worth it under 25k .
"
872,"
Better than Nord CE
"
873,"




                    The media could not be loaded.
                



 Looks fantastic
"
874,"
2 months complete nhii huye haii abhi tak aur mobile phone hang hota proper functioning not working kro kuch hota kuch aur hii .I want to let you know never buy again Nord CE 2
"
875,"
Battery back up is awesome.. and 65 W charger.. it's really supervooc. Camera also nice..
"
876,"
Device is good. But Mobile is getting heat when it's not in use also
"
877,"
Very fast processor.
"
878,"
Handset started showing problems exactly after 40 days of purchase. Touch screen not working . Hanging and ghost touch are problems .Not getting good service support
"
879,"
Overall design and hardware compabilty is good, but one and only bad thing is it's camera quality is not upto mark from one plus brand. If you are photo lover camera quality is ordinary.
"
880,"




                    The media could not be loaded.
                



 Very nice product
"
881,"
Over all performance is good..But camera quality is not up to the mark.
"
882,"
Back camera sirf ek hi chal rha hai baki show peace haiCharging 30 din bahut fast hota tha ek month baad bahut slow ho Raha hai lagbhag 1.30 ghante 2 ghante lag jate hai
"
883,
884,"
Phone is overall good, but it has stopped fast charging after one month usage.. earlier it used to take 15-20 min for full charge.. but now it takes more than 40 min for a full charge..
"
885,"
Battery backup only 24 hrs and network capacity is very poor.
"
886,"
Trust of 1 plus
"
887,"
Don't buy one plus mobile.... Worst  Software provide by one plus wrost dailer and hanging and lagging problem....
"
888,"
Battery life is not as described
"
889,"
finger print is best in class.battery life is good in class .camera best in class
"
890,"
This phone is budget phone and are very useful for camera lovers. Battery is very good and camera is excellent. Go for it
"
891,"
Bhai bilkul bekar phone h bahut heat hota h or battery bahut jyda km chlti h, subah jb soke utho to 50% tk gayab ho jati h battery , bhai look pr mt jana iske , m bhi fuss gya ise dekhke
"
892,"
Camera is ok .charging is good less weight.suggestable phone.
"
893,"
Camera below expectations display average charger is not working as expected
"
894,"
It's doesn't provide gorilla glass in back.Nord ce 2 lite is better than this phone.Battery quality isn't good.
"
895,"
Super phone
"
896,"
Worst battery backup if u charge ur phone  💯 percent u will get only backup only for 5 hrs
"
897,"
Touch screen  is not working properly.Battery life is also poor.Performance also poor.Seems a old phone in new coverHow can I change the phone?
"
898,"
Not impressed with camera quality and  audio clarity. Many phone in 16k price range does a better job.oneplus is just only hype now .
"
899,"
Everything works great , especially with the 65w vooc charging, it charges 100%within 40-45min but battery drains quickly which is a disadvantage
"
